Label,GeoNames ID,Bounding Box,Geometry,GEOID,STUSPS
Georgia,http://sws.geonames.org/4197000,"-85.61,30.36,-80.84,35.00","MultiPolygon(((-81.1 31.5, -81.4 31, -81.3 30.7, -81.9 30.8, -82.1 30.4, -82.2 30.6, -84.9 30.7, -85.1 31.2, -85.1 31.8, -84.9 32.3, -85.2 32.9, -85.6 35, -83.1 35, -83.3 34.7, -82.9 34.5, -82.6 33.9, -81.5 33, -81.1 32.1, -80.8 32, -81.1 31.5)))",13,GA
Hawaii,http://sws.geonames.org/5855797,"-178.33,18.91,-154.81,28.40","POLYGON((-154.6284 19.5158,-154.8235 19.8894,-155.0391 20.1849,-155.5952 20.3910,-155.7930 20.8614,-156.1858 21.0948,-156.6595 21.3597,-157.1182 21.4748,-157.5247 21.5515,-157.8186 21.8832,-159.2180 22.3386,-159.7508 22.3374,-160.1422 22.1493,-160.3922 21.8857,-160.3249 21.6025,-159.9939 21.7276,-159.4295 21.6932,-158.1784 21.1037,-157.4629 20.8152,-157.2171 20.6803,-156.8285 20.3408,-156.5456 20.2931,-156.1418 20.1643,-156.2393 19.9308,-156.1432 19.2826,-156.1212 18.9881,-155.7120 18.7100,-155.3673 18.8829,-154.8839 19.2048,-154.6271 19.5158,-154.6284 19.5158))",15,HI
Idaho,http://sws.geonames.org/5596512,"-117.24,41.99,-111.04,49.00","MultiPolygon(((-116.4 49, -116 49, -116 48, -115.7 47.7, -115.6 47.5, -115.8 47.4, -115.3 47.3, -114.8 46.7, -114.3 46.6, -114.5 46.1, -114.4 45.9, -114.6 45.8, -114.6 45.6, -114.3 45.5, -113.9 45.7, -113.5 44.9, -113.1 44.8, -112.9 44.4, -112.3 44.6, -111.5 44.5, -111.4 44.8, -111 44.5, -111 42, -117 42, -117 43.8, -116.9 44.2, -117.2 44.4, -116.5 45.6, -116.9 45.9, -117.1 46.4, -117 49, -116.4 49)))",16,ID
Illinois,http://sws.geonames.org/4896861,"-91.51,36.97,-87.49,42.51","MultiPolygon(((-87.9 38.3, -88.2 37.7, -88.1 37.5, -88.5 37.4, -88.5 37.1, -89 37.2, -89.1 37, -89.3 37, -89.5 37.3, -89.5 37.7, -90.4 38.2, -90.1 38.8, -90.6 38.9, -90.7 39.3, -91.4 39.7, -91.5 40.2, -91.4 40.6, -91 40.9, -91 41.4, -90.3 41.6, -90.2 41.9, -90.2 42.1, -90.6 42.5, -87 42.5, -87.2 41.8, -87.5 41.8, -87.5 39.3, -87.7 39.1, -87.5 38.7, -87.9 38.3)))",17,IL
Indiana,http://sws.geonames.org/4921868,"-88.10,37.77,-84.78,41.76","MultiPolygon(((-86.3 38.2, -86.6 37.8, -86.8 38, -87.1 37.8, -87.6 38, -87.6 37.8, -87.9 37.9, -87.9 37.8, -88.1 37.8, -88 38.3, -87.5 38.7, -87.7 39.1, -87.5 39.3, -87.5 41.8, -84.8 41.8, -84.8 38.8, -85.4 38.7, -85.4 38.5, -86 38, -86.3 38.2)))",18,IN
Iowa,http://sws.geonames.org/4862182,"-96.64,40.38,-90.14,43.50","MultiPolygon(((-95.9 43.5, -91.2 43.5, -91.1 43.3, -91.2 43.1, -91.1 42.8, -90.7 42.6, -90.2 42.1, -90.2 41.8, -90.5 41.5, -91 41.4, -91.1 41.2, -91 41, -91.1 40.7, -91.4 40.6, -91.4 40.4, -91.7 40.6, -95.8 40.6, -96.1 42, -96.6 42.7, -96.4 43.1, -96.6 43.5, -95.9 43.5)))",19,IA
Kansas,http://sws.geonames.org/4273857,"-102.05,36.99,-94.59,40.00","MultiPolygon(((-94.6 37.8, -94.6 37, -102 37, -102.1 40, -95 39.9, -94.9 39.7, -95.1 39.5, -94.6 39.1, -94.6 37.8)))",20,KS
Kentucky,http://sws.geonames.org/6254925,"-89.57,36.50,-81.96,39.15","MultiPolygon(((-89.6 36.6, -89.5 36.6, -89.5 36.5, -89.5 36.5, -89.6 36.6)),((-82.6 37.2, -83.1 36.7, -83.7 36.6, -88.1 36.7, -88.1 36.5, -89.4 36.5, -89.2 36.7, -89.1 37.2, -88.5 37.1, -88.5 37.4, -88.1 37.5, -88.2 37.7, -87.9 37.9, -87.6 37.8, -87.6 38, -87.4 37.9, -87.1 37.8, -86.8 38, -86.6 37.8, -86.4 38.2, -86 38, -85.4 38.5, -85.4 38.7, -84.8 38.8, -84.9 39.1, -84.7 39.1, -84.5 39.1, -84.2 38.8, -83.7 38.6, -82.9 38.8, -82.6 38.5, -82.5 37.9, -82 37.5, -82.6 37.2)))",21,KY
Louisiana,http://sws.geonames.org/4331987,"-94.04,28.93,-88.82,33.02","MultiPolygon(((-92.7 33, -91.1 33, -91.2 32.6, -91 32.5, -91.1 32.5, -90.9 32.4, -91.2 32.2, -91 32.1, -91.3 31.8, -91.3 31.8, -91.5 31.6, -91.4 31.6, -91.7 31.3, -91.6 31, -89.7 31, -89.9 30.7, -89.6 30.2, -88.9 30.1, -88.8 30, -88.8 29.7, -89.1 29.4, -88.9 29.2, -89.1 28.9, -89.5 28.9, -89.6 29.2, -90.9 29, -92.1 29.5, -93.2 29.7, -93.8 29.6, -93.9 29.8, -93.7 30.1, -93.7 30.5, -93.5 31, -94 32, -94 33, -92.7 33)))",22,LA
Maine,http://sws.geonames.org/4971068,"-71.08,42.98,-66.95,47.46","MultiPolygon(((-67.8 45.7, -67.4 45.6, -67.5 45.3, -67.2 45.2, -66.9 44.8, -68.7 44, -68.8 43.7, -69.4 43.8, -70.2 43.5, -70.5 43.3, -70.4 43.1, -70.6 43.1, -70.6 42.9, -70.8 43.1, -71 43.4, -71.1 45.3, -70.9 45.2, -70.8 45.4, -70.6 45.4, -70.7 45.5, -70.3 45.9, -70.3 46.2, -70 46.7, -69.2 47.5, -68.9 47.2, -68.2 47.4, -67.8 47.1, -67.8 45.7)))",23,ME
Maryland,http://sws.geonames.org/4361885,"-79.49,37.91,-75.05,39.72","MultiPolygon(((-75.8 39.2, -75.7 38.5, -75 38.5, -75 38.3, -75.2 38, -76.2 37.9, -76.9 38.2, -77 38.4, -77.3 38.3, -77.2 38.6, -76.9 38.9, -77.5 39.1, -77.8 39.6, -78.2 39.7, -78.6 39.5, -78.8 39.6, -79.5 39.2, -79.5 39.7, -75.8 39.7, -75.8 39.2)))",24,MD
Massachusetts,http://sws.geonames.org/6254926,"-73.51,41.24,-69.93,42.89","MultiPolygon(((-71.3 42.7, -70.9 42.9, -70.5 42.7, -70.6 42.2, -70 42.1, -69.9 41.7, -70 41.5, -70.1 41.6, -70.5 41.5, -70.4 41.4, -70 41.4, -69.9 41.2, -70.9 41.2, -71.4 42, -73.5 42.1, -73.3 42.7, -71.3 42.7)))",25,MA
Michigan,http://sws.geonames.org/5001836,"-90.42,41.70,-82.41,48.24","MultiPolygon(((-87.1 47.8, -84.9 46.9, -84.6 46.5, -84.1 46.5, -84 46.1, -83.4 46, -83.6 45.8, -82.5 45.3, -82.1 43.6, -82.5 42.6, -83.1 42.3, -83.1 42, -83.4 41.7, -87.2 41.8, -87 42.5, -87.1 43.4, -87 44.1, -86.7 44.9, -86.2 45.2, -87.1 45.4, -87.4 45.1, -87.7 45.1, -87.7 45.4, -87.9 45.4, -87.8 45.7, -88.1 45.8, -88.1 45.9, -90.1 46.3, -90.4 46.6, -89.5 48, -88.4 48.3, -87.1 47.8)))",26,MI
Minnesota,http://sws.geonames.org/5037779,"-97.24,43.50,-89.49,49.38","MultiPolygon(((-95.3 49, -95.2 49, -95.2 49.4, -95 49.4, -94.8 49.3, -94.6 48.7, -93.8 48.5, -93 48.6, -92.6 48.5, -92.7 48.5, -92.5 48.4, -92.4 48.2, -92.1 48.4, -91.6 48, -90.9 48.2, -90.8 48.1, -89.5 48, -90 47.3, -90.7 47.3, -92.3 46.7, -92.3 46.1, -92.9 45.7, -92.9 45.6, -92.6 45.4, -92.8 44.8, -91.4 44, -91.2 43.5, -96.5 43.5, -96.5 45.3, -96.9 45.6, -96.6 45.8, -96.6 46.1, -96.8 46.6, -96.9 47.6, -97.1 48.1, -97.1 48.7, -97.2 49, -95.3 49)))",27,MN
