ID,old_url
ui_api_1540,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1540
ui_api_1545,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1545
ui_api_155,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_155
ui_api_1550,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1550
ui_api_1556,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1556
ui_api_156,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_156
ui_api_1561,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1561
ui_api_1566,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1566
ui_api_157,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_157
ui_api_1571,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1571
ui_api_1575,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1575
ui_api_158,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_158
ui_api_1580,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1580
ui_api_1584,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1584
ui_api_1589,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1589
ui_api_159,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_159
ui_api_1594,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1594
ui_api_1599,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1599
ui_api_160,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_160
ui_api_1604,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1604
ui_api_1609,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1609
ui_api_161,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_161
ui_api_1614,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1614
ui_api_1619,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1619
ui_api_162,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_162
ui_api_1624,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1624
ui_api_1629,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1629
ui_api_163,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_163
ui_api_1634,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1634
ui_api_164,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_164
ui_api_1640,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1640
ui_api_1645,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1645
ui_api_165,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_165
ui_api_1650,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1650
ui_api_166,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_166
ui_api_1660,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1660
ui_api_1665,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1665
ui_api_167,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_167
ui_api_1670,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1670
