ID,old_url,new_landing_page_url,new_iiif_manifest_url
ui_api_1342,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1342,https://digital.lib.uiowa.edu/node/362455,https://digital.lib.uiowa.edu/node/362455/iiif-p/manifest
ui_api_1345,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1345,https://digital.lib.uiowa.edu/node/61183,https://digital.lib.uiowa.edu/node/61183/iiif-p/manifest
ui_api_1348,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1348,https://digital.lib.uiowa.edu/node/101325,https://digital.lib.uiowa.edu/node/101325/iiif-p/manifest
ui_api_135,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_135,https://digital.lib.uiowa.edu/node/428137,https://digital.lib.uiowa.edu/node/428137/iiif-p/manifest
ui_api_1358,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1358,https://digital.lib.uiowa.edu/node/42115,https://digital.lib.uiowa.edu/node/42115/iiif-p/manifest
ui_api_136,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_136,https://digital.lib.uiowa.edu/node/547664,https://digital.lib.uiowa.edu/node/547664/iiif-p/manifest
ui_api_1361,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1361,https://digital.lib.uiowa.edu/node/358422,https://digital.lib.uiowa.edu/node/358422/iiif-p/manifest
ui_api_137,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_137,https://digital.lib.uiowa.edu/node/21558,https://digital.lib.uiowa.edu/node/21558/iiif-p/manifest
ui_api_1371,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1371,Error: No redirect or process failed (TimeoutException),
ui_api_1376,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1376,https://digital.lib.uiowa.edu/node/452722,https://digital.lib.uiowa.edu/node/452722/iiif-p/manifest
ui_api_138,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_138,https://digital.lib.uiowa.edu/node/359494,https://digital.lib.uiowa.edu/node/359494/iiif-p/manifest
ui_api_1381,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1381,https://digital.lib.uiowa.edu/node/302966,https://digital.lib.uiowa.edu/node/302966/iiif-p/manifest
ui_api_139,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_139,https://digital.lib.uiowa.edu/node/847568,https://digital.lib.uiowa.edu/node/847568/iiif-p/manifest
ui_api_140,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_140,https://digital.lib.uiowa.edu/node/708873,https://digital.lib.uiowa.edu/node/708873/iiif-p/manifest
ui_api_141,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_141,https://digital.lib.uiowa.edu/node/30740,https://digital.lib.uiowa.edu/node/30740/iiif-p/manifest
ui_api_1412,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1412,https://digital.lib.uiowa.edu/node/853557,https://digital.lib.uiowa.edu/node/853557/iiif-p/manifest
ui_api_1413,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1413,https://digital.lib.uiowa.edu/node/562784,https://digital.lib.uiowa.edu/node/562784/iiif-p/manifest
ui_api_1414,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1414,https://digital.lib.uiowa.edu/node/728151,https://digital.lib.uiowa.edu/node/728151/iiif-p/manifest
ui_api_1415,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1415,https://digital.lib.uiowa.edu/node/912614,https://digital.lib.uiowa.edu/node/912614/iiif-p/manifest
ui_api_1416,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1416,https://digital.lib.uiowa.edu/node/886774,https://digital.lib.uiowa.edu/node/886774/iiif-p/manifest
ui_api_1417,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1417,https://digital.lib.uiowa.edu/node/853368,https://digital.lib.uiowa.edu/node/853368/iiif-p/manifest
ui_api_1418,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1418,https://digital.lib.uiowa.edu/node/631695,https://digital.lib.uiowa.edu/node/631695/iiif-p/manifest
ui_api_1419,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1419,Error: No redirect or process failed (TimeoutException),
